row,col,yield,trt,block
1,1,240,hi dust,B3
1,2,237,hi dust,B1
1,3,257,hi dust,B2
1,4,263,hi dust,B4
1,5,268,hi manu,B3
1,6,243,hi manu,B1
1,7,256,hi manu,B2
1,8,259,hi manu,B4
2,1,240,hi soot,B3
2,2,245,hi soot,B1
2,3,254,hi soot,B2
2,4,248,hi soot,B4
2,5,251,hi sulph,B1
2,6,260,hi sulph,B3
2,7,266,hi sulph,B2
2,8,270,hi sulph,B4
3,1,273,lo manu,B1
3,2,255,lo manu,B3
3,3,254,lo manu,B2
3,4,253,lo manu,B4
3,5,238,lo soot,B1
3,6,246,lo soot,B3
3,7,266,lo soot,B2
3,8,250,lo soot,B4
4,1,243,lo sulph,B3
4,2,237,lo sulph,B1
4,3,265,lo sulph,B4
4,4,235,lo sulph,B2
4,5,235,low dust,B1
4,6,243,low dust,B3
4,7,240,low dust,B4
4,8,260,low dust,B2
5,1,213,none,B1
5,2,216,none,B1
5,3,214,none,B1
5,4,204,none,B3
5,5,220,none,B3
5,6,237,none,B1
5,7,255,none,B3
5,8,250,none,B3
6,1,258,none,B2
6,2,234,none,B4
6,3,266,none,B2
6,4,249,none,B4
6,5,227,none,B4
6,6,248,none,B2
6,7,228,none,B2
6,8,236,none,B4
