"y","x1","x2","x3","x4"
-3.6667,-0.53653,0.5083,-1.1982,-0.67792
-3.6408,1.3648,-0.35258,1.5326,-4.3563
-3.6149,0.071956,0.15365,1.1081,-3.1766
-3.7197,-0.106,0.14794,-0.011078,-1.8762
-3.6938,-0.081388,-0.010363,-0.34762,-1.4125
-3.6808,-1.5528,0.4923,0.25227,-1.0552
-3.6679,0.49414,-0.31531,1.3653,-3.3482
-3.6419,-0.62908,0.87272,-0.63767,-1.4757
-3.629,0.20495,-1.2983,0.48865,-1.2201
-3.616,-0.48643,0.86731,-0.040525,-2.1947
-3.5901,0.13803,1.6593,-0.41108,-3.2415
-3.5771,0.9113,0.12602,-1.4887,-1.4104
-3.6555,1.6481,-1.326,0.69027,-2.7974
-3.6295,-1.1205,-1.1234,-1.4132,1.7815
-3.5388,0.083469,0.49405,-1.0111,-1.4195
-3.5258,0.91107,-0.78654,0.92956,-2.8472
-3.5129,-1.0844,-2.0983,1.8288,-0.44659
-3.6431,-0.52419,-0.90308,-0.952,0.53494
-3.6171,0.57152,-0.2855,-0.34997,-1.7519
-3.6042,1.1385,0.13492,-0.016968,-3.0574
-3.5912,-0.77865,0.10224,-1.107,-0.071629
-3.5653,-0.37891,-0.35661,1.2332,-2.2934
-3.5523,-2.1029,-0.95687,-0.98366,2.1738
-3.4745,0.25726,0.20066,0.34005,-2.6051
-3.4616,-1.2924,-0.47548,0.14831,-0.21403
-3.4356,-0.23854,1.0853,0.94922,-3.6003
-3.4227,-1.0326,-0.7661,-0.44936,0.40638
-3.5399,2.2321,-1.1569,0.71906,-3.5451
-3.514,0.52488,7.3009e-05,-1.3439,-1.008
-3.501,-1.022,-0.2237,1.175,-1.7244
-3.4881,1.7877,1.6843,0.6957,-5.9352
-3.4621,-0.95004,-0.43594,-1.0895,0.63232
-3.4103,0.12575,-0.012043,-0.0038024,-1.9135
-3.3973,-0.24774,-0.7185,0.44769,-1.2787
-3.3714,1.2504,1.0672,0.1095,-4.214
-3.4886,-0.46328,-0.15183,-0.26484,-0.92577
-3.4757,0.10186,1.2737,-1.3952,-1.8067
-3.4497,-0.49645,-1.7687,0.078517,0.3932
-3.4368,1.3871,1.2924,-0.90036,-3.5744
-3.4108,-0.5093,-0.068844,-0.56851,-0.66676
-3.3979,0.5016,-0.52689,1.3934,-3.1209
-3.346,-0.15855,0.99683,0.84924,-3.4676
-3.3201,1.1598,1.0087,-1.115,-2.8562
-2.9311,-0.62293,1.5498,1.3563,-4.0612
-3.3984,0.26229,0.064311,0.26984,-2.3672
-3.3855,-1.0423,-0.8543,0.61355,-0.49772
-3.3725,0.51911,0.76079,0.31912,-3.3669
-3.3466,0.15916,0.23191,1.2247,-3.3677
-3.2947,1.142,1.3149,-2.2418,-2.0315
-3.2817,0.68529,-1.3014,-1.3306,0.15181
-3.2558,1.5125,1.0151,-0.98799,-3.3215
-3.2428,0.4744,2.235,2.1802,-6.6219
-3.2299,-2.1695,0.063112,-1.1833,1.4486
-3.2039,-1.4415,-0.15197,-0.5733,0.35129
-3.0095,-1.4274,0.56898,0.51207,-1.4473
-2.9706,-0.63436,-0.22902,-0.15175,-0.77808
-2.8668,0.41358,-2.8504,1.7204,-1.0105
-3.3601,0.53075,1.5875,-1.2135,-2.6964
-3.3342,0.42342,0.45735,-0.71936,-1.9402
-3.3212,-3.1361,-0.17515,0.74555,0.76523
-3.2953,0.16859,-0.92105,-0.089301,-0.92272
-3.2175,0.6113,0.18865,0.17928,-2.7344
-3.1915,-2.2464,0.29191,-0.33731,0.47988
-3.1786,-1.5864,-0.75973,-0.22197,0.7725
-3.1526,-0.30628,-0.25947,-0.2049,-1.006
-3.1397,0.076718,-0.062046,0.58628,-2.3548
-3.1267,0.037003,-0.52607,0.95518,-2.2109
-3.1008,-0.85476,1.1112,0.20407,-2.2412
-3.0878,1.9903,-1.4646,0.2938,-2.5452
-3.0619,-0.88382,-1.2775,1.9077,-1.4824
-2.9193,-0.35569,-1.4615,-0.45784,0.49596
-2.9063,-0.13571,0.97409,0.21943,-2.8264
-2.8933,1.0642,0.51918,0.77526,-4.0946
-2.8026,-0.3889,0.32263,1.5872,-3.2613
-3.2829,-1.5393,-0.1545,0.78963,-0.85782
-3.2699,0.73264,-0.63125,-0.23101,-1.6176
-3.2569,0.63376,0.46989,0.63155,-3.4685
-3.231,-0.3549,2.7984,0.39748,-4.6026
-3.218,-0.70215,-2.2394,2.9742,-1.7265
-3.1662,1.1009,-0.33534,0.60423,-3.0937
-3.1402,0.52997,1.602,-0.41139,-3.4821
-3.1273,0.27786,-0.7049,0.57735,-1.8866
-3.1143,-1.2177,-0.29827,0.11504,-0.37037
-3.0884,-0.98162,1.7122,1.0514,-3.5355
-3.0754,-1.9717,-1.2302,1.5455,-0.0923
-3.0495,-1.0812,1.051,-0.011565,-1.7346
-3.0365,0.4605,1.2752,-0.026313,-3.4625
-3.0236,-1.6035,0.47161,-0.77325,0.10562
-2.9976,-0.083549,-1.6244,-1.3641,1.2903
-2.9847,-0.65427,-0.94104,-0.73553,0.55169
-2.9587,-1.132,-1.7209,-1.9106,2.9534
-2.9328,0.91338,-0.86508,-0.4161,-1.3799
-2.9069,2.1084,-0.26196,-1.7681,-1.8389
-2.8939,0.57582,0.52597,-1.4129,-1.4683
-2.8809,-1.4076,1.0751,-1.2061,-0.26927
-2.855,-3.2934,0.29104,-1.5621,2.7216
-2.842,-1.4442,0.77115,1.012,-2.0976
-2.8161,0.5355,-0.90978,-1.0224,-0.37014
-3.2186,2.4231,1.5042,0.78279,-6.4029
